,time,survival_unbiased,survival_biased
8245,0.104510336,,-0.00010037641162759457
8246,0.44162444799999995,,-0.00020076289969053423
8247,0.642061392,,-0.00030115946621232006
8248,0.7693157520000001,,-0.0004015661132167296
0,0.8035140000000001,-0.00010000500033334732,
1,0.8865940000000001,-0.0002000200026670447,
8249,1.2794819279999998,,-0.000501982842728261
2,1.3609559999999998,-0.00030004500900199243,
8250,1.4940617999999999,,-0.0006024096567719113
8251,1.713636576,,-0.0007028465573736211
8252,2.181503772,,-0.000803293546559608
8253,2.433962624,,-0.0009037506263568113
3,2.515464,-0.00040008002133969133,
4,2.769796,-0.0005001250416822429,
5,2.784214,-0.0006001800720324606,
8254,3.446069308,,-0.0010042177987926704
8255,3.792474048,,-0.001104695065895569
6,4.02161,-0.0007002451143934259,
8256,4.151282096,,-0.001205182429694169
8257,4.355384326,,-0.001305679892217855
8258,5.10068125,,-0.0014061874554965124
8259,6.4794138640000005,,-0.001506705121560972
8260,6.56065956,,-0.0016072328924423437
8261,6.6015228299999995,,-0.0017077707701724611
7,6.697236,-0.0008003201707691552,
8,6.958066,-0.0009004052431641551,
9,6.98075,-0.0010005003335835344,
8262,7.244522044,,-0.00180831875678366
8263,7.770568656,,-0.001908876854309222
8264,7.7987165,,-0.0020094450647827095
10,8.303516,-0.0011006054440330039,
11,8.621796,-0.001200720576518877,
8265,8.946477011999999,,-0.0021100233902382978
12,9.049318,-0.0013008457330480696,
8266,9.12838273,,-0.00221061183271111
8267,9.915883286,,-0.0023112103942365494
13,10.173446,-0.0014009809156281003,
14,10.297559999999999,-0.0015011261262670914,
8268,10.340622,,-0.0024118190768507453
15,10.622843999999999,-0.0016012813669738792,
8269,11.12573065,,-0.0025124378825903304
16,11.225938,-0.0017014466397575704,
17,11.339042,-0.0018016219466282088,
8270,12.66869664,,-0.0026130668134928853
18,12.674745999999999,-0.0019018072895963312,
8271,13.32424899,,-0.002713705871596273
8272,13.43264814,,-0.002814355058939082
19,13.727765999999999,-0.0020020026706730793,
8273,13.856493248000001,,-0.002915014377560406
20,14.100206,-0.0021022080918701985,
21,14.370925999999999,-0.0022024235552000394,
22,14.664042,-0.002302649062675558,
23,15.20014,-0.002402884616310315,
24,15.576716000000001,-0.002503130218118477,
25,16.292504,-0.0026033858701149278,
26,17.110229999999998,-0.002703651574314823,
8274,17.489524062,,-0.0030156838295002887
27,17.786508,-0.0028039273327342593,
28,18.47511,-0.002904213147389827,
29,18.519622,-0.0030045090202987243,
8275,18.62569282,,-0.003116363416799054
8276,19.843644672,,-0.0032170531414977563
30,19.86241,-0.0031048149534787565,
31,20.21508,-0.0032051309489483358,
32,20.626598,-0.0033054570087264813,
33,21.127992,-0.003405793134832821,
34,21.62589,-0.00350613932928759,
8277,21.650201872,,-0.0033177530056379533
35,22.461418000000002,-0.003606495594111744,
8278,22.587533135999998,,-0.003418463011262154
36,23.120654,-0.003706861931326512,
37,23.442198,-0.0038072383429540663,
38,23.627644,-0.0039076248310170765,
39,24.043894,-0.004008021397538822,
40,24.571692,-0.004108428044543191,
8279,24.854499072,,-0.0035191831604131506
41,25.17038,-0.004208844774054682,
8280,25.1801603,,-0.0036199134551343527
42,25.378398,-0.004309271588098403,
43,26.475081999999997,-0.004409708488700073,
8281,26.589741156,,-0.003720653897470122
8282,27.277348896,,-0.003821404489465103
8283,27.629020691999997,,-0.00392216523316467
8284,28.076189778,,-0.004022936130614704
8285,28.351967292,,-0.004123717183862041
8286,28.92340812,,-0.004224508394953797
44,29.479422,-0.004510155477886019,
45,30.09402,-0.004610612557683294,
46,30.727988,-0.004711079730119223,
8287,30.784171408,,-0.004325309765937824
47,30.78529,-0.004811556997222082,
8288,31.12961346,,-0.004426121298862477
48,31.165385999999998,-0.004912044361020641,
49,31.319872,-0.005012541823544286,
50,31.954254000000002,-0.005113049386823014,
51,32.252421999999996,-0.005213567052887434,
8289,32.325981670000004,,-0.004526942995777069
52,32.809487999999995,-0.005314094823768765,
53,33.094634,-0.005414632701498842,
54,33.119553999999994,-0.005515180688110111,
55,33.420362000000004,-0.005615738785635745,
8290,33.940999552,,-0.004627774858731195
56,34.270294,-0.005716306996109192,
57,34.670718,-0.005816885321564851,
8291,34.747044800000005,,-0.004728616889775185
58,35.35125,-0.005917473764037623,
59,35.51648,-0.006018072325563021,
8292,35.730059972,,-0.004829469090959874
60,35.886742,-0.006118681008177177,
61,37.24868,-0.0062192998139168326,
62,37.766106,-0.0063199287448193475,
63,37.937188,-0.006420567802922695,
8293,38.0256702,,-0.0049303314643370545
8294,38.195969256,,-0.0050312040119588055
64,38.451498,-0.006521216990265463,
65,38.708188,-0.0066218763088869695,
8295,38.780728144,,-0.0051320867358779386
66,39.218936,-0.006722545760826811,
67,39.233444000000006,-0.006823225348125537,
68,40.180868000000004,-0.006923915072824198,
8296,40.89625986,,-0.005232979638147773
8297,41.156540336,,-0.005333882720822587
69,41.379392,-0.007024614936964466,
8298,42.267271952,,-0.005434795985956945
