,time,survival_unbiased,survival_biased,survival_fitted
4740,0.005774,,-6.183961093462263e-07,-0.00036542919078051683
5013,0.011106,,-1.2367926009954147e-06,-0.0003660678098344736
6345,0.011564,,-1.8551894751700828e-06,-0.0003661226649595134
3632,0.01228,,-2.473586731648659e-06,-0.00036620842100651885
3333,0.015875999999999998,,-3.0919843706536613e-06,-0.00036663911757779205
5489,0.015936,,-3.7103823919635168e-06,-0.00036664630383871427
7431,0.016222,,-4.328780795800745e-06,-0.0003666805583491103
3786,0.018175999999999998,,-4.947179582054795e-06,-0.00036691459091314473
1609,0.018269999999999998,,-5.565578750615118e-06,-0.0003669258493885896
4971,0.021004000000000002,,-6.183978301704231e-06,-0.0003672533033446132
7440,0.03127628287,,-6.802378235100563e-06,-0.00036848362509412855
6520,0.032202191136,,-7.420778551026632e-06,-0.00036859452206728754
4778,0.033098188640000005,,-8.039179249260866e-06,-0.00036870183659811124
3749,0.036984485565999994,,-8.657580330025781e-06,-0.0003691673023269705
6138,0.037280426244,,-9.275981793210833e-06,-0.00036920274744246405
5296,0.039938054279999996,,-9.894383638705465e-06,-0.0003695210542508135
7257,0.041342022594,,-1.0512785866732199e-05,-0.0003696892089613296
6076,0.04402536411,,-1.1131188477069462e-05,-0.0003700105954992874
5829,0.04423746263,,-1.1749591469939775e-05,-0.00037003599875438644
2490,0.04641428922000001,,-1.2367994845232585e-05,-0.00037029671948535676
4663,0.055147269606,,-1.2986398602837343e-05,-0.00037134267741340075
1307,0.055775579626,,-1.3604802742976569e-05,-0.00037141793074246376
1922,0.056411552578,,-1.4223207265428686e-05,-0.0003714941018686731
7149,0.05755375520000001,,-1.4841612170416219e-05,-0.00037163090463646916
1625,0.05832106598000001,,-1.5460017457717588e-05,-0.0003717228062276947
6391,0.059177990279999995,,-1.607842312755532e-05,-0.00037182544092120157
4881,0.06101930694,,-1.6696829179818862e-05,-0.00037204597728718883
6619,0.063340763242,,-1.7315235614397658e-05,-0.0003723240204656182
6198,0.06702162866999999,,-1.7933642431514235e-05,-0.00037276488145537276
4074,0.067536015362,,-1.8552049630947018e-05,-0.0003728264900717668
861,0.07105355235000001,,-1.917045721291852e-05,-0.0003732477890484237
4217,0.0713407332,,-1.9788865177207177e-05,-0.0003732821849904232
690,0.071558845128,,-2.0407273524035503e-05,-0.00037330830847750427
839,0.07194589962400001,,-2.102568225329295e-05,-0.000373354666387494
1121,0.073489356402,,-2.1644091364868966e-05,-0.0003735395277729759
364,0.078859672428,,-2.2262500858986072e-05,-0.00037418273597627166
88,0.08546301786600001,,-2.288091073542269e-05,-0.00037497362536422467
709,0.085467403764,,-2.3499320994401347e-05,-0.00037497415066768143
1530,0.08555091307399999,,-2.4117731635700462e-05,-0.0003749841526625331
2150,0.09138530132,,-2.473614265954256e-05,-0.0003756829432668236
4099,0.091460097804,,-2.535455406581709e-05,-0.00037569190171765843
6810,0.09283453445599998,,-2.59729658544135e-05,-0.00037585651939103126
2334,0.09308661643600001,,-2.659137802555431e-05,-0.0003758867115057325
6350,0.094649346974,,-2.7209790579017944e-05,-0.00037607388132901963
390,0.09680366728999999,,-2.782820351502693e-05,-0.00037633190646070076
6695,0.09715751323200002,,-2.844661683335968e-05,-0.00037637428694845893
4989,0.097347245632,,-2.906503053423873e-05,-0.00037639701139065567
3879,0.09794591625000001,,-2.968344461755352e-05,-0.00037646871477844615
6242,0.09886075216000001,,-3.03018590831935e-05,-0.00037657828560428444
2770,0.10052848182999999,,-3.092027393138119e-05,-0.00037677803128022426
2324,0.10056668652800001,,-3.153868916189502e-05,-0.00037678260709569564
6117,0.102574002796,,-3.2157104774957506e-05,-0.0003770230254032842
436,0.10414290582400001,,-3.2775520770347076e-05,-0.000377210934511966
604,0.104439466926,,-3.339393714828625e-05,-0.000377246453936272
824,0.10583849070599999,,-3.401235390866448e-05,-0.0003774140164349304
2629,0.10591356840600001,,-3.463077105137121e-05,-0.00037742300856729113
2095,0.107871975064,,-3.5249188576628956e-05,-0.0003776575689212286
5890,0.10807292352000002,,-3.5867606484216154e-05,-0.0003776816367218409
1492,0.10865009438399999,,-3.6486024774355327e-05,-0.00037775076506226456
1660,0.10909321332599999,,-3.710444344693591e-05,-0.0003778038378678779
481,0.109654824136,,-3.7722862501847364e-05,-0.00037787110256483483
3803,0.11158222529999999,,-3.8341281939312206e-05,-0.00037810194935927386
5447,0.11562202872,,-3.895970175910886e-05,-0.00037858580071678543
6919,0.116522800716,,-3.957812196145985e-05,-0.00037869368709336385
4867,0.11825311687199999,,-4.01965425461436e-05,-0.0003789009288162804
6019,0.119106847188,,-4.081496351338263e-05,-0.0003790031809630805
1446,0.119441887254,,-4.1433384863066385e-05,-0.00037904330905197517
6918,0.12036101582400002,,-4.2051806595084324e-05,-0.00037915339401406033
6696,0.123963551056,,-4.2670228709658955e-05,-0.0003795848733167059
3605,0.127667540772,,-4.3288651206568714e-05,-0.00038002850392591394
2265,0.12875047765,,-4.390707408603612e-05,-0.0003801582083753744
96,0.12996547065199998,,-4.452549734783959e-05,-0.00038030372932089233
2351,0.13116851989599998,,-4.514392099220166e-05,-0.0003804478197503872
7219,0.131671807584,,-4.576234501901177e-05,-0.00038050809902780256
6321,0.131903100048,,-4.638076942815936e-05,-0.0003805358011610634
7361,0.13219550472,,-4.699919421986697e-05,-0.000380570822765528
1843,0.13874247525599998,,-4.761761939391301e-05,-0.000381354960074227
2048,0.138946126408,,-4.823604495052001e-05,-0.0003813793515794835
3967,0.14055397799,,-4.885447088946639e-05,-0.0003815719255960251
3270,0.14270354755999998,,-4.9472897210974674e-05,-0.00038182938172603406
3580,0.14276711669599998,,-5.009132391493431e-05,-0.000381836995465999
755,0.143629493836,,-5.0709751001234736e-05,-0.00038194028325168935
960,0.14575782473599996,,-5.1328178470098496e-05,-0.0003821951956046272
1323,0.14668266364799998,,-5.1946606321303996e-05,-0.00038230596450017183
4671,0.146922379578,,-5.256503455507377e-05,-0.00038233467552050847
7409,0.147588675336,,-5.318346317118623e-05,-0.0003824144784399814
1596,0.14787577398,,-5.380189216986391e-05,-0.00038244886453608483
829,0.14905605389399998,,-5.442032155099625e-05,-0.00038259022785980625
7411,0.15077585270399999,,-5.50387513144727e-05,-0.00038279620990951335
7443,0.15177978474,,-5.565718146051579e-05,-0.0003829164518688283
6358,0.154928669088,,-5.627561198890393e-05,-0.0003832935969444733
5550,0.15495243424000002,,-5.689404289985965e-05,-0.0003832964433208588
2417,0.15693389506800004,,-5.7512474193161375e-05,-0.0003835337648961457
2653,0.15745801415400001,,-5.813090586903163e-05,-0.0003835965391712511
6798,0.16038116946,,-5.874933792735986e-05,-0.0003839466484503371
2700,0.160929576064,,-5.93677703680355e-05,-0.00038401233166613415
6448,0.161610919096,,-5.99862031912811e-05,-0.00038409393681289257
1213,0.164835808656,,-6.0604636396875056e-05,-0.0003844801851099523
5262,0.1653339878,,-6.12230699850399e-05,-0.00038453985253186567
1424,0.16557591321600004,,-6.18415039556651e-05,-0.000384568828184584
2882,0.16876044804199997,,-6.245993830864009e-05,-0.0003849502431541775
